catalog,vendor,product,release,id,title,description,status,official_doc_url
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cmdb-instance-api,CMDB Instance API,"The CMDB Instance API provides endpoints to create, read, update, and delete operations on existing Configuration Management Database (CMDB) tables. You can only insert, update, or delete one record at a time.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cmdb-instance-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cmdb-meta-api,CMDB Meta API,The CMDB Meta API provides endpoints to obtain meta data on a Configuration Management Database (CMDB) class.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cmdb-meta-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,consumer-api,Consumer API,The Consumer API provides endpoints to retrieve and update Customer Service Management (CSM) consumer records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/consumer-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,contact-api,Contact API,The Contact API provides endpoints that enable you to retrieve and update Customer Service Management (CSM) contact records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/contact-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cicd-update-set-api,Continuous Integration and Continuous Delivery (CICD) Update Set API,"The CICD Update Set API provides methods to create, retrieve, preview, commit, and back-out an update set.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cicd-update-set-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cicd-api,Continuous Integration/Continuous Delivery (CICD) API,"The CICD API provides endpoints that enable integration with common DevOps tools for building pipelines. These tools include Jenkins, Azure Pipelines, GitLab, GitHub Actions, Atlassian Bamboo/Pipelines, and more.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cicd-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,conversation-member-api,Conversation Member API,The Conversation Member API provides methods for changing a specific agent’s member state to removed or updated in a given Agent Chat conversation.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/conversation-member-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,attachment_csm-api,CSM Attachment API,"The CSM Attachment API provides endpoints that allow both internal and external users to upload, download, and remove attachments associated with a table and to retrieve attachment metadata.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/attachment_csm-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,csm-pricing-api,CSM Pricing API,The CSM Pricing API provides methods to calculate prices for transaction lines containing products.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/csm-pricing-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cti-api,CTI API,The CTI API provides endpoints that enable Computer Telephony Integration (CTI) providers to interact with the Cloud Call Center framework.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cti-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cust_central-api,Customer Central API,The Customer Central API provides endpoints to access customer information and configuration details.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cust_central-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,data-classification-api,Data Classification API,The Data Classification API provides endpoints to group data by type.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/data-classification-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,dcim-metric-data-feed-api,DCIM Metric Data Feed API,The DCIM Metric Data Feed API provides an endpoint to accept Data Center Infrastructure Management (DCIM) metric data from an external system and store the data in a MetricBase database.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/dcim-metric-data-feed-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,devops-api,DevOps API,The DevOps API provides endpoints that enable the interaction with external DevOps tools.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/devops-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,devops-config-api,DevOps Config API,The DevOps Config API provides endpoints to manage your applications.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/devops-config-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,digital-product-release-api,Digital Product Release API,The Digital Product Release API provides endpoints to manage releases and policy compliance.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/digital-product-release-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,email-api,Email API,The Email API provides endpoints that enable you to receive and send email messages using REST.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/email-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,entitlement-api,Entitlement API,The Entitlement API provides endpoints to create and retrieve entitlement records from an instance.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/entitlement-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,event_management_topic-api,Event Management Topic Open API,The Event Management Topic Open API provides an endpoint that enables you to send a topic through your message broker and store it on a ServiceNow instance.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/event_management_topic-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,event_open-api,Event Notification Management Open API,"The Event Notification Management Open API provides an endpoint to create, update, and delete events from the Events [em_event] table.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/event_open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,external-content-ingestion-api,External Content Ingestion API,The External Content Ingestion API provides endpoints that enable ingestion of content from sources outside of your ServiceNow® instance into the ServiceNow® AI Search application's index.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/external-content-ingestion-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,external-id-mapping-api,External ID Mapping API,Enables external Contact Center as a Service (CCaaS) platforms to store and retrieve routing identifiers for ServiceNow records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/external-id-mapping-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,hr-core-api,HR REST API,The HR REST API provides endpoints that return information about employees that work or live in the United States.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/hr-core-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_IdentifyReconcileAPI,Identification and Reconciliation API,The Identification and Reconciliation API provides endpoints that use the Identification and Reconciliation engine (IRE) to minimize creation of duplicate Configuration Items (CIs) and to reconcile CI attributes by only accepting information from authorized sources when updating the Configuration Management Database (CMDB).,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_IdentifyReconcileAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_ImportSetAPI,Import Set API,The Import Set API provides endpoints that allow you to interact with import set tables.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_ImportSetAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,integrations-api,Install Base Item API,The Install Base Item API provides endpoints to access and manage install base items records within a ServiceNow instance.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/integrations-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,knowledge-api,Knowledge Management REST API,"The Knowledge Management API provides endpoints for searching, viewing, and fetching lists of the most-viewed and featured knowledge articles.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/knowledge-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,lead-api,lead API,"The lead API provides endpoints that enable you to create, update, and query/retrieve marketing leads and their associated lead line items from an instance.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/lead-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,Clotho-Time-Series-API,MetricBase Time Series API,"The MetricBase Time Series API provides endpoints to insert data into, retrieve information from, and to run transforms against a MetricBase database.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/Clotho-Time-Series-API
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,omichannel-callback-api,Omnichannel Callback API,"The Omnichannel Callback API provides methods for creating, updating, and initiating a callback request for live agent conversations.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/omichannel-callback-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,openframe-api,openframe API,The openframe API provides endpoints that provide Contact Center as a Service (CCaaS) the ability to create and update interaction records without using the Operation Handler.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/openframe-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,order_csm-api,Order API,The Order API provides endpoints for retrieving and creating orders with order line items for the Customer Service Management application.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/order_csm-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,tmf-party-management-open-api,Party Management Open API,"The Party Management Open API provides endpoints for managing parties with a relationship to the enterprise, like a consumer, account, or contact. Use this API to create, update, and retrieve data from the Consumer [csm_consumer], Account [customer_account], and Contact [customer_contact] tables.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/tmf-party-management-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,agent-intelligence-api,Predictive Intelligence API,The Predictive Intelligence API provides endpoints that predict a field value based on one or more input fields and a trained solution.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/agent-intelligence-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,proactive-engagement-api,Proactive Engagement API,The Proactive Engagement API provides an endpoint for creating digital experience issues.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/proactive-engagement-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,product-catalog-open-api,Product Catalog Open API,"The Product Catalog Open API provides endpoints to create and retrieve product catalogs, product offerings, and product specifications.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/product-catalog-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,product-inventory-open-api,Product Inventory Open API,The Product Inventory Open API provides endpoints to create and retrieve product inventories.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/product-inventory-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,tmf622_product_ordering-api,Product Order Open API,The Product Order Open API provides endpoints that enable a standardized mechanism for placing product orders.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/tmf622_product_ordering-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,ppm-api,Project Portfolio Management API,The Project Portfolio Management API provides endpoints to bulk import cost plans and project tasks.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/ppm-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,pushinstallation-api,Push Installation API,The Push Installation API provides endpoints to register and unregister the tokens that enable mobile devices to receive push notifications from an application.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/pushinstallation-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,push-metrics-MID-server,Push Metrics API,The Push Metrics API provides endpoints that enable you to push raw Metric Intelligence data from an external source to the MID Server.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/push-metrics-MID-server
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,quote-management-api,Quote Management API,"The Quote Management API provides endpoints to create, update, and retrieve customer quote data.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/quote-management-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,remote_help_request-api,Remote help request API,"The Remote help request API provides endpoints to create, view, and fetch lists of IT service requests and their details from an electronic medical record (EMR) system. An IT service request is associated with a task type such as an incident in the ServiceNow instance.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/remote_help_request-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,resource-inventory-api,Resource Inventory Open API,"The Resource Inventory Open API provides endpoints to create, retrieve, and delete resources.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/resource-inventory-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,response-templates-api,Response Templates API,The Response Templates API provides endpoints to handle records in the Response Templates [sn_templated_snip_note_template] table.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/response-templates-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,sales_agreement-api,Sales Agreement API,The Sales Agreement API provides methods for creating a new sales agreement and retrieving an existing sales agreement of a given sys_id.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/sales_agreement-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,sam_soft_us_int-api,SAM-Software Usage Data Integration API,The SAM-Software Usage Data Integration API provides endpoints to create and update records in the Software Usage [samp_sw_usage] table.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/sam_soft_us_int-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_PerformanceAnalyticsAPI,Scorecards API,The Scorecards API provides endpoints that enable you to query data about Performance Analytics indicators. The query parameters equate to the functions available on the Analytics Hub for drilling down into an indicator.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_PerformanceAnalyticsAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,scriptdebugger-api,Script Debugger API,"The Script Debugger API provides endpoints to debug lines of server-side JavaScript code, such as business rules and script includes.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/scriptdebugger-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_ServiceCatalogAPI,Service Catalog API,The Service Catalog API provides endpoints that access Service Catalog configuration and actions from within a Service Portal.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_ServiceCatalogAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,service-catalog-open-api,Service Catalog Open API,"The Service Catalog Open API provides endpoints to create, update, retrieve, and delete service specifications and service categories.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/service-catalog-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,servicecontract-api,Service Contract API,The Service Contract API provides endpoints to create and retrieve service contract records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/servicecontract-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,service-order-open-api,Service Order Open API,The Service Order Open API provides endpoints that enable a standardized mechanism for placing service orders.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/service-order-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,service-test-management-api,Service Test Management Open API,The Service Test Management Open API provides endpoints to create and retrieve service test definitions and service tests.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/service-test-management-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,sg_services-api,SG Services API,The SG Services API provides endpoints to create and manage application services and the upstream relationships between them.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/sg_services-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,spendint-api-spo,SpendInt APIs,"SpendInt APIs are inbound REST APIs that enable external procurement systems to send catalog, pricing, order, shipment, and invoice data into ServiceNow Sourcing and Procurement Operations, synchronizing structured procurement data from third-party systems.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/spendint-api-spo
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,synth-async-api,SyntheticsAsyncBulkCreate API,The SyntheticsAsyncBulkCreate API provides endpoints to manage asynchronous synthetic monitor creation.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/synth-async-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,scim-api,System for Cross-domain Identity Management (SCIM) API,"The System for Cross-domain Identity Management (SCIM) API provides endpoints to create, read, update, and delete operations on users and groups using the SCIM protocol.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/scim-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_TableAPI,Table API,"The Table API provides endpoints that allow you to perform create, read, update, and delete (CRUD) operations on existing tables.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_TableAPI
